code,portee_min,portee_max,h_poutre,p_ser
PAL12x20 1.5/2,150,200,20,3900
PAL12x20 2/2.50,200,250,20,3030
PAL12x20 2.5/3,250,300,20,2400
PAL12x25 2/2.50,200,250,25,3750
PAL12x25 2.50/3,250,300,25,3105
PAL12x25 3/3.50,300,350,25,2550
PAL12x25 3.50/4,350,400,25,1890
PAL12x30 2/2.50,200,250,30,4350
PAL12x30 2.50/3,250,300,30,3600
PAL12x30 3/3.50,300,350,30,2970
PAL12x30 3.50/4,350,400,30,2430
PAL12x30 4/4.50,400,450,30,2280
PAL12x35 2.50/3,250,300,35,4050
PAL12x35 3/3.50,300,350,35,3390
PAL12x35 3.50/4,350,400,35,2880
PAL12x35 4/4.50,400,450,35,2910
PAL12x35 4.50/5,450,500,35,2175
PAL12x35 5/5.50,500,550,35,1650
PAL12x40 3/3.50,300,350,40,4440
PAL12x40 3.50/4,350,400,40,4140
PAL12x40 4/4.50,400,450,40,3360
PAL12x40 4.50/5,450,500,40,2760
PAL12x40 5/5.50,500,550,40,2130
PAL12x40 5.50/6,550,600,40,1590
PAL12x40 6/6.50,600,650,40,1665
PAL12x45 4/4.50,400,450,45,3720
PAL12x45 4.50/5,450,500,45,3120
PAL12x45 5/5.50,500,550,45,2535
PAL12x45 5.50/6,550,600,45,2595
PAL12x45 6/6.50,600,650,45,1965
PAL12x50 4/4.50,400,450,50,4095
PAL12x50 4.50/5,450,500,50,3450
PAL12x50 5/5.50,500,550,50,2820
PAL12x50 5.50/6,550,600,50,3045
PAL12x50 6/6.50,600,650,50,2400
PAL12x55 5/5.50,500,550,55,3600
PAL12x55 5.50/6,550,600,55,3300
PAL12x55 6/6.50,600,650,55,2910
PAL12x55 6.50/7,650,700,55,2250
